family,workload_id,model,k_frac_deleted,mask_seed,retained_recall,coord_success,f1
a,c1-a-010,llama3.1:8b,1.0,0,0.0,0.0,0.39690242517010926
a,c1-a-010,llama3.1:8b,1.0,1,0.0,0.0,0.1439819652304123
a,c1-a-010,llama3.1:8b,1.0,2,0.0,0.0,0.1439819652304123
a,c1-a-011,llama3.1:8b,0.0,0,1.0,1.0,0.9996806948080976
a,c1-a-011,llama3.1:8b,0.0,1,1.0,1.0,0.9379399272068467
a,c1-a-011,llama3.1:8b,0.0,2,1.0,1.0,0.9379399272068467
a,c1-a-011,llama3.1:8b,0.15,0,0.8378378378378378,1.0,0.8994519999289028
a,c1-a-011,llama3.1:8b,0.15,1,0.8378378378378378,0.0,0.45104510451045104
a,c1-a-011,llama3.1:8b,0.15,2,0.8378378378378378,0.0,0.43714156938396437
a,c1-a-011,llama3.1:8b,0.3,0,0.7027027027027027,0.0,0.4045744104393197
a,c1-a-011,llama3.1:8b,0.3,1,0.7027027027027027,0.0,0.7109769502398864
a,c1-a-011,llama3.1:8b,0.3,2,0.7027027027027027,0.0,0.5856618796179383
a,c1-a-011,llama3.1:8b,0.45,0,0.5405405405405406,0.0,0.38449136088013297
a,c1-a-011,llama3.1:8b,0.45,1,0.5405405405405406,0.0,0.5290238548728747
a,c1-a-011,llama3.1:8b,0.45,2,0.5405405405405406,0.0,0.7058236770736273
a,c1-a-011,llama3.1:8b,0.6,0,0.40540540540540543,0.0,0.4587992537040281
a,c1-a-011,llama3.1:8b,0.6,1,0.40540540540540543,0.0,0.1636421439576744
a,c1-a-011,llama3.1:8b,0.6,2,0.40540540540540543,0.0,0.6942942550848736
a,c1-a-011,llama3.1:8b,0.75,0,0.24324324324324326,0.0,0.0
a,c1-a-011,llama3.1:8b,0.75,1,0.24324324324324326,0.0,0.48700426463873797
a,c1-a-011,llama3.1:8b,0.75,2,0.24324324324324326,0.0,0.2553629326787331
a,c1-a-011,llama3.1:8b,0.9,0,0.10810810810810811,0.0,0.2724828124935234
a,c1-a-011,llama3.1:8b,0.9,1,0.10810810810810811,0.0,0.0
a,c1-a-011,llama3.1:8b,0.9,2,0.10810810810810811,0.0,0.0235651376619877
a,c1-a-011,llama3.1:8b,1.0,0,0.0,0.0,0.004950495049504955
a,c1-a-011,llama3.1:8b,1.0,1,0.0,0.0,0.004950495049504955
a,c1-a-011,llama3.1:8b,1.0,2,0.0,0.0,0.004950495049504955
a,c1-a-012,llama3.1:8b,0.0,0,1.0,1.0,0.9200892027504182
a,c1-a-012,llama3.1:8b,0.0,1,1.0,1.0,0.9200892027504182
a,c1-a-012,llama3.1:8b,0.0,2,1.0,1.0,0.9200892027504182
a,c1-a-012,llama3.1:8b,0.15,0,0.8421052631578947,1.0,0.8804850848686241
a,c1-a-012,llama3.1:8b,0.15,1,0.8421052631578947,1.0,0.929446199591154
a,c1-a-012,llama3.1:8b,0.15,2,0.8421052631578947,1.0,0.8955296764985107
a,c1-a-012,llama3.1:8b,0.3,0,0.7105263157894737,0.0,0.45770449097511107
a,c1-a-012,llama3.1:8b,0.3,1,0.7105263157894737,0.0,0.7244307057994753
a,c1-a-012,llama3.1:8b,0.3,2,0.7105263157894737,0.0,0.5517413408360453
a,c1-a-012,llama3.1:8b,0.45,0,0.5526315789473685,0.0,0.11184257948348608
a,c1-a-012,llama3.1:8b,0.45,1,0.5526315789473685,1.0,0.9508393731028929
a,c1-a-012,llama3.1:8b,0.45,2,0.5526315789473685,0.0,0.6149356135015257
a,c1-a-012,llama3.1:8b,0.6,0,0.39473684210526316,0.0,0.42996399823635084
a,c1-a-012,llama3.1:8b,0.6,1,0.39473684210526316,0.0,0.21384520089050219
a,c1-a-012,llama3.1:8b,0.6,2,0.39473684210526316,0.0,0.2443686018250193
a,c1-a-012,llama3.1:8b,0.75,0,0.2631578947368421,0.0,0.1456088974964097
a,c1-a-012,llama3.1:8b,0.75,1,0.2631578947368421,0.0,0.19563384552206242
a,c1-a-012,llama3.1:8b,0.75,2,0.2631578947368421,0.0,0.014715356501269927
a,c1-a-012,llama3.1:8b,0.9,0,0.10526315789473684,0.0,0.0724214829957257
a,c1-a-012,llama3.1:8b,0.9,1,0.10526315789473684,0.0,0.1195818146519314
a,c1-a-012,llama3.1:8b,0.9,2,0.10526315789473684,0.0,0.0
a,c1-a-012,llama3.1:8b,1.0,0,0.0,0.0,0.005781687996635421
a,c1-a-012,llama3.1:8b,1.0,1,0.0,0.0,0.0
a,c1-a-012,llama3.1:8b,1.0,2,0.0,0.0,0.0
a,c1-a-013,llama3.1:8b,0.0,0,1.0,1.0,1.0
a,c1-a-013,llama3.1:8b,0.0,1,1.0,1.0,1.0
