compressor,regime,ratio,pipeline,workload_id,f1,retrieval_recall,eur_per_query,f1_over_eur,achieved_ratio
lingua2,storage_bounded,8.0,P2,c1-a-036,0.02,0.625,0.00015456,129.39958592132504,1.0
lingua2,storage_bounded,8.0,P3,c1-a-036,0.8,0.625,0.00016822200000000002,4755.620549036392,1.0
lingua2,storage_bounded,8.0,P1,c1-a-037,0.034057971014492754,0.625,0.00015483600000000002,219.96157879622794,16.88888888888889
lingua2,storage_bounded,8.0,P2,c1-a-037,0.0,0.625,0.000153732,0.0,1.0
lingua2,storage_bounded,8.0,P3,c1-a-037,0.8,0.625,0.000167118,4787.036704603933,1.0
lingua2,storage_bounded,8.0,P1,c1-a-038,0.05405797101449276,0.625,0.00015428400000000003,350.37963116391035,18.875
lingua2,storage_bounded,8.0,P2,c1-a-038,0.03666666666666667,0.625,0.000153456,238.93928335592395,1.0
lingua2,storage_bounded,8.0,P3,c1-a-038,0.23666666666666666,0.625,0.00015663000000000002,1510.9919342824915,1.0
lingua2,storage_bounded,8.0,P1,c1-a-039,0.034057971014492754,0.625,0.00015635400000000001,217.8260294875267,17.5
lingua2,storage_bounded,8.0,P2,c1-a-039,0.016666666666666666,0.625,0.00015525,107.35373054213633,1.0
lingua2,storage_bounded,8.0,P3,c1-a-039,0.8,0.625,0.00016946400000000003,4720.766652504366,1.0
lingua2,storage_bounded,8.0,P1,c1-a-040,0.01739130434782609,0.625,0.00015414600000000002,112.8235850935223,18.8125
lingua2,storage_bounded,8.0,P2,c1-a-040,0.0,0.625,0.00015331800000000003,0.0,1.0
lingua2,storage_bounded,8.0,P3,c1-a-040,1.0,0.625,0.00016987800000000002,5886.577426152886,1.0
lingua2,storage_bounded,8.0,P1,c1-a-041,0.03333333333333333,0.625,0.00015607800000000003,213.56842946048337,18.470588235294116
lingua2,storage_bounded,8.0,P2,c1-a-041,0.03333333333333333,0.625,0.00015525,214.70746108427267,1.0
lingua2,storage_bounded,8.0,P3,c1-a-041,1.0,0.625,0.00017263800000000002,5792.467475295125,1.0
lingua2,storage_bounded,8.0,P1,c1-a-042,0.0,0.625,0.00015469800000000002,0.0,17.88235294117647
lingua2,storage_bounded,8.0,P2,c1-a-042,0.0,0.625,0.00015387000000000002,0.0,1.0
lingua2,storage_bounded,8.0,P3,c1-a-042,0.4,0.625,0.00016063200000000002,2490.163852781513,1.0
